Filename,Inference Time (ms),Temperature (°C),Used RAM (MB),CPU Usage (%)
frame0455.jpg,215,71.9,846.75,33.3
frame0372.jpg,214,71.9,846.234,0
frame0492.jpg,217,73,847.359,50
frame0400.jpg,215,73,845.938,0
frame0608.jpg,215,71.9,846.797,50
frame0313.jpg,217,71.9,846.516,33.3
frame0018.jpg,214,72.5,846.938,0
frame0280.jpg,219,72.5,845.953,50
frame0403.jpg,214,72.5,846.062,33.3
frame0417.jpg,222,73,845.641,0
frame0039.jpg,217,73,845.828,33.3
frame0622.jpg,214,71.9,846.016,0
frame0428.jpg,213,72.5,845.984,0
frame0087.jpg,215,73,844.984,33.3
frame0161.jpg,213,73.6,845.875,33.3
frame0415.jpg,216,73,845.359,0
frame0171.jpg,215,73,845.766,0
frame0220.jpg,213,73,846.891,50
frame0300.jpg,213,72.5,846.844,50
frame0423.jpg,216,73,843.203,33.3
frame0255.jpg,215,73,845.484,0
frame0200.jpg,217,73,846.141,0
frame0555.jpg,216,74.1,846.328,0
frame0151.jpg,213,73.6,847.234,50
frame0298.jpg,211,72.5,846.938,0
frame0036.jpg,212,73,846.422,0
frame0350.jpg,213,73.6,846.844,50
frame0589.jpg,211,73.6,846.312,33.3
frame0323.jpg,215,73.6,847.438,50
frame0270.jpg,216,72.5,846.922,33.3
frame0489.jpg,219,73,846.406,50
frame0076.jpg,213,73,846.828,0
frame0558.jpg,213,73,844.906,0
frame0405.jpg,218,72.5,846.156,33.3
frame0538.jpg,215,73.6,846.672,0
frame0262.jpg,216,73.6,846.609,33.3
frame0064.jpg,216,73.6,845.391,0
frame0402.jpg,213,72.5,846.984,0
frame0019.jpg,214,72.5,846.25,0
frame0451.jpg,212,73.6,844.453,0
frame0568.jpg,215,75.2,846.516,0
frame0295.jpg,216,74.1,846.812,0
frame0022.jpg,214,73.6,847.328,50
frame0085.jpg,213,73.6,846.578,50
frame0183.jpg,215,74.7,847,33.3
frame0237.jpg,213,75.2,846.719,33.3
frame0099.jpg,215,74.1,845.734,50
frame0607.jpg,215,74.1,846.359,33.3
frame0468.jpg,214,73.6,846.781,33.3
frame0459.jpg,216,74.7,846.969,33.3
frame0580.jpg,218,74.1,846.703,50
frame0071.jpg,217,73.6,845.953,50
frame0013.jpg,214,74.1,845.891,50
frame0238.jpg,214,73.6,846.078,0
frame0569.jpg,215,74.1,847.672,33.3
frame0518.jpg,213,74.1,847.609,0
frame0088.jpg,215,74.1,846.859,50
frame0244.jpg,215,74.7,846.109,50
frame0496.jpg,215,75.2,846.5,50
frame0394.jpg,216,74.1,846.922,33.3
frame0360.jpg,215,75.2,844.922,33.3
frame0572.jpg,215,74.1,846.359,33.3
frame0292.jpg,217,74.1,846.312,0
frame0479.jpg,217,74.7,846.734,33.3
frame0090.jpg,216,74.7,845.984,33.3
frame0422.jpg,216,74.7,845.938,0
frame0278.jpg,215,76.3,846.375,0
frame0016.jpg,216,74.7,846.781,0
frame0165.jpg,216,74.7,845.797,0
frame0299.jpg,217,74.1,845.891,0
frame0438.jpg,215,75.2,845.453,50
frame0184.jpg,214,74.1,845.406,33.3
frame0600.jpg,217,74.1,845.359,33.3
frame0326.jpg,217,74.7,845.078,33.3
frame0314.jpg,216,75.2,845.031,50
frame0461.jpg,215,75.7,844.516,0
frame0221.jpg,214,75.2,845.875,0
frame0339.jpg,217,74.7,845.125,50
frame0193.jpg,216,74.7,846.156,0
